id,content,date,thread
1626728694982275072,@ElijahSchaffer Tragic. I hope SF comes back from this emptiness. It is such a beautiful city with so many amazing people.,2023-02-17 23:41:58+00:00,[]
1626728275694460929,@AutismCapital 🤣,2023-02-17 23:40:18+00:00,[]
1626727875960532992,https://t.co/2YnLMPZmXH,2023-02-17 23:38:43+00:00,[]
1626726906535067649,"@getpaidwrite @boo I’d like to thank the advertising community that has stuck with us as we improve our ad products and experience. 

We will deliver great results for you going forward.",2023-02-17 23:34:52+00:00,[]
1626714289427070977,@dougboneparth 🤣,2023-02-17 22:44:44+00:00,[]
1626714116063924224,@getpaidwrite @boo Same. Irrelevant/annoying ads work for neither the user nor the advertiser!,2023-02-17 22:44:02+00:00,[]
1626713620301352960,"@ScottAdamsSays A big part of the problem is that journalists used to choose their career to pursue truth, but in recent years many have entered journalism to be activists",2023-02-17 22:42:04+00:00,[]
1626712528045871104,@alexchaomander Yes. Will be embarrassing.,2023-02-17 22:37:44+00:00,[]
1626712166291345409,@BillyM2k @theboimerch7 !!,2023-02-17 22:36:17+00:00,[]
1626711851299131392,"@TalosIV_Pike @SirineAti @boo We started improving relevance in December, but still a very long way to go",2023-02-17 22:35:02+00:00,[]
1626710696338784256,@alex_avoigt Exactly,2023-02-17 22:30:27+00:00,[]
1626709948091736064,@BillyM2k @TheSmarmyBum Or at least it is indistinguishable from such. Either way.,2023-02-17 22:27:29+00:00,[]
1626709568045879296,@EvaFoxU Your tweets are excellent,2023-02-17 22:25:58+00:00,[]
1626708460657332225,"@SirineAti @boo You are not alone. When I ask people if they use Twitter, almost all have for many years. When I ask if they’ve ever bought something from an ad after using the site for a decade, the answer is almost always no. That’s insane!

The biggest problem is that Twitter optimized for…",2023-02-17 22:21:34+00:00,[]
1626706716938350594,"@teslaownersSV @boo Never seen anything so messed up. Wish it wasn’t. But we’re making good progress, albeit with many 2 steps forward, 1 step back situations.",2023-02-17 22:14:38+00:00,[]
1626705448954114060,"@boo My apologies, you must be a genius, which is why Twitter has the worst ad relevance on Earth. 

Almost nobody buys anything on Twitter, but almost everyone on Instagram does.

That is being fixed.",2023-02-17 22:09:36+00:00,[]
1626703667591270400,This is my finest work – please add to gravestone along with “invented car fart” https://t.co/vbeOOqKuyT,2023-02-17 22:02:31+00:00,[]
1626697391213772800,@wallacemick @vonderleyen Cue André meme,2023-02-17 21:37:35+00:00,[]
1626696997435740160,@BillyM2k you are wise,2023-02-17 21:36:01+00:00,[]
1626695497095471104,@LouiseMensch @TheDustyBC True,2023-02-17 21:30:03+00:00,[]
1626683035587604481,@mattyxb 🔥 🚽 🤫,2023-02-17 20:40:32+00:00,[]
1626682342583726081,@rawenclown @EvaFoxU Same,2023-02-17 20:37:47+00:00,[]
1626681578553475072,"@BillyM2k The algorithm needs &amp; will get major upgrades. We will still publish it later this month, but please expect to see many bugs &amp; silly logic!

What matters is showing users compelling content. We’re doing better than before (I think). User-minutes are up &gt;10% from last year.",2023-02-17 20:34:45+00:00,[]
1626676632747646976,"@TheDustyBC That’s been true for a long time &amp; is a function of an account’s popularity (Bieber was top recommendation). 

I don’t think we should suggest anyone, but just show new users the most interesting tweets on system &amp; adjust according to what they like.",2023-02-17 20:15:06+00:00,[]
1626670108797186048,@greg16676935420 Nice,2023-02-17 19:49:10+00:00,[]
1626669887878987776,@cb_doge 🤣🤣,2023-02-17 19:48:17+00:00,[]
1626669814210232320,@Tedmund_ I was made the Tom of Twitter by Twitter!,2023-02-17 19:48:00+00:00,[]
1626669364069150720,@cb_doge Seriously! And I don’t even follow them.,2023-02-17 19:46:13+00:00,[]
1626668609073446913,@cb_doge 🤣🤣,2023-02-17 19:43:13+00:00,[]
1626668288725127168,"Note: if many people who you follow or like also follow me, it is highly probable that the algorithm will recommend my tweets. It’s not super sophisticated.

In coming months, we will offer the ability to adjust the algorithm to closer match what is most compelling to you.",2023-02-17 19:41:56+00:00,[]
1626564778826272778,@jimmy_dore True,2023-02-17 12:50:38+00:00,[]
1626556852816470024,"@washingtonpost Your article is false and obviously so. Do you really do no research at all? I mean, like reading a few tweets, for example.",2023-02-17 12:19:08+00:00,[]
1626538656487059460,@wongmjane Synchronization lag between our Portland and Atlanta data centers. Should be fixed now.,2023-02-17 11:06:49+00:00,[]
1626537732460933120,@Jim_Jordan This is a major crisis https://t.co/zHr69pRTVR,2023-02-17 11:03:09+00:00,[]
1626535310262927360,@AllanRicharz You might be right,2023-02-17 10:53:32+00:00,[]
1626533667408596992,What we need is TruthGPT,2023-02-17 10:47:00+00:00,[]
1626532676516847617,@isaach 🤣,2023-02-17 10:43:04+00:00,[]
1626529910830559232,@TechTreesSDG @AgOregon_ That was an accurate ratio of those who actually wrote code to those who did not,2023-02-17 10:32:04+00:00,[]
1626528189555281920,@AgOregon_ 🤣,2023-02-17 10:25:14+00:00,[]
1626527712037998592,@hugowiz Some of Twitter’s prior board members had never written a single Tweet!,2023-02-17 10:23:20+00:00,[]
1626527183752802304,"Sorry for showing you so many irrelevant &amp; annoying ads on Twitter! 

We’re taking the (obvious) corrective action of tying ads to keywords &amp; topics in tweets, like Google does with search.

This will improve contextual relevance dramatically.",2023-02-17 10:21:14+00:00,[]
1626525638344740864,@SeamusMacintosh @thecryptojourno @platformer @AOC 👆,2023-02-17 10:15:06+00:00,[]
1626525298287349760,"@cb_doge True, but, on the plus side, their constant reporting about me on Twitter has driven usage to record levels 🤣",2023-02-17 10:13:45+00:00,[]
1626524536090025984,@dogeofficialceo 🤣🤣,2023-02-17 10:10:43+00:00,[]
1626523188149764096,"@thecryptojourno @platformer The “source” of the bogus Platformer article is a disgruntled employee who had been on paid time off for months, had already accepted a job at Google and felt the need to poison the well on the way out. Twitter will be taking legal action against him.",2023-02-17 10:05:22+00:00,[]
1626521621711458304,"For example, despite having ~40M fewer followers back then, I have yet to come anywhere close to this gem https://t.co/bXVRqNQZhT",2023-02-17 09:59:08+00:00,[]
1626520156469092353,"Several major media sources incorrectly reported that my Tweets were boosted above normal levels earlier this week.

A review of my Tweet likes &amp; views over the past 6 months, especially as a ratio of followers, shows this to be false.

We did have a bug that briefly caused…",2023-02-17 09:53:19+00:00,[]
1626516035863212034,"@GRDecter OpenAI was created as an open source (which is why I named it “Open” AI), non-profit company to serve as a counterweight to Google, but now it has become a closed source, maximum-profit company effectively controlled by Microsoft.

Not what I intended at all.",2023-02-17 09:36:56+00:00,[]
1626505466154225666,@teslaownersSV That’s a real wrench!,2023-02-17 08:54:56+00:00,[]
1626480550516260865,@DrEliDavid !,2023-02-17 07:15:56+00:00,[]
1626476517877485569,"@teslaownersSV Whoa, ancient times! When was that?",2023-02-17 06:59:54+00:00,[]
1626443417516638208,@Hyundai @kevinbacon ⚡️ ♥️,2023-02-17 04:48:23+00:00,[]
1626442008612184065,@westcoastbill 🔥,2023-02-17 04:42:47+00:00,[]
1626392614269321217,@EvaFoxU 5 years ago,2023-02-17 01:26:30+00:00,[]
1626378298573066240,@westcoastbill !!,2023-02-17 00:29:37+00:00,[]
